train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.6,0,8,0,24.0,0,0.01,0.61,4,35,0,100.0,19,89,-20.745714,20.98425283843816,-1.1963897,-68.75051,-256.1118,1172.9375771966725,0.0,-7061.26,103.69167,117.06,935664,1780,20704.09699988365
0.3,0,14,0,56.0,0,0.01,0.42,3,58,1,676.0,12,90,-38.117233,40.27356040839635,-1.1810939,-163.90726,-269.51205,1358.205580904452,0.0,-10010.035,104.23334,114.41666,944932,1800,20899.834000587463
0.6,0,8,1,479.0,0,0.01,0.44,3,56,2,1073.0,10,91,-522.8976,2174.8278092759438,-1.3220905,-10001.759,-350.3775,1584.937399394689,-0.00022566676,-10009.054,119.308334,117.48332,954952,1820,21106.14499926567
0.3,0,14,0,76.0,0,0.01,0.33,3,67,2,2296.0,14,92,-51.407936,40.829667139838406,-1.1549982,-135.54079,-501.88,1948.0331824689229,-7.665157e-07,-10029.524,105.158325,120.36333,963834,1840,21307.592000484467
0.3,0,14,0,95.0,0,0.01,0.34,1,66,0,560.0,6,93,-59.529213,54.171501386799314,-2.7290828,-207.997,-141.28915,774.7935208815313,-0.0013660276,-7812.2817,104.9,109.27166,972362,1860,21494.736000537872
0.35,0,13,0,125.0,0,0.01,0.27,2,73,1,954.0,9,94,-74.37423,98.56960183672246,-1.1517563,-398.61374,-267.1425,1253.0216279059193,-4.8613547e-06,-10023.686,104.908325,112.08667,981824,1880,21694.32900071144
0.4,0,12,1,834.0,0,0.01,0.37,2,63,2,1650.0,10,95,-711.286,2230.1328211566233,-1.4383789,-10006.613,-405.9625,1651.751070833617,-0.072793,-10022.86,124.083336,119.77665,991784,1900,21903.39199948311
0.45,0,11,2,1172.0,0,0.01,0.23,2,77,1,1355.0,9,96,-1030.3069,3000.226124811262,-1.5316964,-10038.944,-289.1551,1254.3511470078863,-0.012404165,-10033.122,131.21667,112.68833,1001732,1920,22099.21600008011
0.35,1,12,2,1471.0,4,0.01,0.37,4,63,0,1691.0,16,97,-1319.5254,3088.7366996880783,-10.856518,-10037.391,-423.32785,1470.1855665187304,-12.263635,-8786.332,147.57501,124.98668,1013018,1940,22313.69700074196
0.15,1,17,0,999.0,4,0.01,0.44,3,56,0,1331.0,14,98,-973.2294,1849.446944359313,-18.754112,-7112.6875,-328.173,1257.8843190055277,-9.486066,-8157.3457,147.65,120.584984,1024834,1960,22522.890999794006
0.4,0,12,0,75.0,0,0.01,0.46,7,53,2,2370.0,35,99,-68.389656,50.86526703581728,-15.989119,-171.391,-772.4258,2182.597058552036,-1.5000732,-10016.067,110.416664,139.00833,1033616,1980,22701.877999782562
0.25,2,15,1,558.0,5,0.01,0.53,6,44,0,1148.0,29,100,-822.967,2364.8481558019744,-4.2873726,-10033.847,-465.1099,1685.0948459953227,-0.09107908,-8157.4004,136.825,126.125,1043656,2000,22887.8140001297
